Date,Open,High,Low,Close,Volume,Market Cap
06/13/17,0.638503,0.652862,0.53391,0.590255,"25,425,600","1,774,740,000"
06/14/17,0.592347,0.606196,0.495745,0.528916,"14,194,900","1,646,450,000"
06/15/17,0.528284,0.543165,0.300365,0.363661,"10,300,400","1,468,380,000"
06/16/17,0.353285,0.448249,0.309852,0.410757,"6,920,690","981,966,000"
06/17/17,0.426762,0.444205,0.414139,0.419906,"3,100,660","1,186,200,000"
06/18/17,0.420597,0.426069,0.39379,0.405862,"2,514,450","1,169,060,000"
06/19/17,0.405456,0.42099,0.388231,0.412183,"3,543,640","1,126,980,000"
06/20/17,0.414299,0.422032,0.398649,0.418494,"3,755,470","1,151,560,000"
06/21/17,0.419439,0.43734,0.405037,0.413547,"3,999,810","1,165,840,000"
06/22/17,0.413371,0.427283,0.407261,0.417742,"2,343,320","1,148,980,000"
06/23/17,0.417769,0.48091,0.408405,0.48091,"3,768,560","1,161,200,000"
06/24/17,0.482769,0.635612,0.482769,0.51291,"19,215,500","1,341,870,000"
06/25/17,0.514185,0.525564,0.454951,0.470941,"5,012,890","1,429,190,000"
06/26/17,0.470192,0.473662,0.351156,0.402438,"9,101,080","1,306,910,000"
06/27/17,0.411989,0.420035,0.353549,0.392269,"4,411,090","1,145,140,000"
06/28/17,0.399874,0.399874,0.357338,0.379136,"4,704,400","1,111,460,000"
06/29/17,0.375767,0.459387,0.361568,0.417798,"5,324,020","1,044,460,000"
06/30/17,0.417167,0.453008,0.398195,0.401591,"5,044,270","1,159,530,000"
07/01/17,0.402295,0.414192,0.381489,0.38963,"2,334,640","1,118,190,000"
07/02/17,0.39188,0.39689,0.366798,0.382249,"2,971,770","1,089,240,000"
07/03/17,0.379055,0.384955,0.356024,0.376139,"3,873,180","1,053,600,000"
07/04/17,0.3749,0.410698,0.373865,0.39639,"3,933,710","1,042,050,000"
07/05/17,0.396273,0.400841,0.371809,0.38013,"3,061,100","1,101,450,000"
07/06/17,0.380253,0.382865,0.317295,0.35388,"8,218,370","1,056,920,000"
07/07/17,0.355803,0.355994,0.271859,0.284565,"8,804,780","988,966,000"
07/08/17,0.286164,0.320908,0.281393,0.305515,"3,273,950","795,402,000"
07/09/17,0.297377,0.31277,0.285475,0.302889,"2,474,500","826,569,000"
07/10/17,0.304476,0.304476,0.190539,0.217061,"8,233,640","846,301,000"
07/11/17,0.214742,0.231574,0.185681,0.187596,"6,946,200","596,881,000"
07/12/17,0.191125,0.237362,0.183955,0.228758,"4,646,480","531,237,000"
07/13/17,0.229099,0.238625,0.194249,0.214589,"4,129,150","636,787,000"
07/14/17,0.212999,0.214112,0.161877,0.17535,"3,347,860","592,038,000"
07/15/17,0.175237,0.176099,0.147933,0.158688,"3,913,220","487,076,000"
07/16/17,0.157961,0.185445,0.155173,0.180978,"4,178,170","439,057,000"
07/17/17,0.180717,0.278088,0.179114,0.263105,"15,254,300","502,309,000"
07/18/17,0.264569,0.309577,0.248754,0.26734,"11,433,600","735,378,000"
07/19/17,0.268162,0.284031,0.230686,0.232212,"6,339,730","745,365,000"
07/20/17,0.233503,0.298253,0.232192,0.29246,"10,332,500","649,028,000"
07/21/17,0.29476,0.305506,0.257626,0.264134,"6,344,870","819,295,000"
07/22/17,0.26339,0.278936,0.254406,0.273382,"4,107,430","732,099,000"
07/23/17,0.273693,0.280241,0.258485,0.269072,"3,065,860","760,738,000"
07/24/17,0.265136,0.273468,0.242731,0.266447,"4,502,060","736,952,000"
07/25/17,0.266827,0.269072,0.237998,0.250453,"2,917,500","741,654,000"
07/26/17,0.250571,0.283478,0.241237,0.274598,"4,626,790","696,469,000"
07/27/17,0.27685,0.285551,0.275467,0.275467,"3,343,540","769,512,000"
07/28/17,0.274876,0.278459,0.262736,0.265118,"2,884,740","764,026,000"
07/29/17,0.266567,0.277226,0.245848,0.27519,"2,788,270","740,931,000"
07/30/17,0.277339,0.279401,0.252831,0.254785,"3,165,840","770,872,000"
07/31/17,0.255064,0.25981,0.245768,0.254732,"2,563,820","708,959,000"
08/01/17,0.256665,0.296267,0.249623,0.29022,"5,169,910","713,408,000"
08/02/17,0.290135,0.293039,0.272032,0.286116,"3,439,800","806,440,000"
08/03/17,0.286578,0.336844,0.284765,0.332352,"8,239,810","796,552,000"
08/04/17,0.332239,0.420252,0.332239,0.391286,"20,179,000","923,468,000"
08/05/17,0.393176,0.427798,0.364083,0.40798,"9,091,140","1,092,850,000"
08/06/17,0.40769,0.440193,0.396851,0.431142,"6,276,510","1,133,190,000"
08/07/17,0.430804,0.491028,0.418088,0.474577,"14,717,700","1,197,430,000"
08/08/17,0.473874,0.55088,0.458992,0.547637,"21,988,500","1,317,150,000"
08/09/17,0.547121,0.555125,0.512566,0.543328,"13,294,400","1,520,740,000"
08/10/17,0.535805,0.588071,0.51325,0.566456,"16,602,500","1,489,290,000"
08/11/17,0.565525,0.710585,0.557827,0.654872,"43,618,800","1,571,890,000"
08/12/17,0.655191,0.72796,0.625521,0.721535,"20,358,000","1,821,120,000"
08/13/17,0.722169,0.82953,0.715382,0.807713,"41,198,400","2,007,290,000"
08/14/17,0.811738,0.976404,0.793682,0.976404,"54,630,900","2,256,250,000"
08/15/17,0.97732,0.995791,0.767236,0.917949,"84,698,300","2,716,490,000"
08/16/17,0.914727,1.05,0.878567,1.05,"52,081,500","2,542,510,000"
08/17/17,1.04,1.1,0.998241,1.02,"58,209,300","2,904,020,000"
08/18/17,1.01,1.03,0.7744,0.870147,"58,053,400","2,819,080,000"
08/19/17,0.87158,0.985748,0.778133,0.978521,"39,975,500","2,422,580,000"
08/20/17,0.971222,1.02,0.939619,0.942205,"29,447,600","2,699,540,000"
08/21/17,0.907423,0.939166,0.843577,0.906269,"32,558,600","2,522,210,000"
08/22/17,0.901778,0.901778,0.786259,0.843775,"26,333,800","2,506,520,000"
08/23/17,0.842517,0.940389,0.834667,0.850371,"27,418,300","2,341,800,000"
08/24/17,0.854043,0.895101,0.81388,0.895101,"17,132,900","2,373,840,000"
08/25/17,0.894733,0.934651,0.837866,0.919635,"18,226,300","2,486,940,000"
08/26/17,0.915926,0.970068,0.877886,0.962213,"16,623,100","2,545,840,000"
08/27/17,0.962058,0.979088,0.887365,0.920351,"17,816,000","2,674,070,000"
08/28/17,0.922464,0.927742,0.784779,0.875197,"24,288,200","2,564,020,000"
08/29/17,0.876892,0.877578,0.746405,0.811961,"28,538,500","2,437,350,000"
08/30/17,0.812777,0.878203,0.792339,0.869647,"17,428,100","2,259,140,000"
08/31/17,0.869553,0.902074,0.828224,0.842424,"15,194,300","2,416,950,000"
09/01/17,0.842867,0.8791,0.768119,0.807778,"28,047,000","2,342,770,000"
09/02/17,0.79656,0.802464,0.658006,0.695547,"39,333,900","2,214,060,000"
09/03/17,0.698855,0.775863,0.67285,0.743968,"29,504,600","1,942,490,000"
09/04/17,0.744257,0.744257,0.406795,0.566472,"74,601,300","2,068,680,000"
09/05/17,0.544132,0.646085,0.468949,0.613085,"45,817,500","1,512,430,000"
09/06/17,0.613529,0.749172,0.601484,0.741663,"33,093,300","1,705,320,000"
09/07/17,0.739668,0.739668,0.622366,0.645758,"31,377,000","2,055,930,000"
09/08/17,0.648249,0.660258,0.490346,0.540475,"48,691,600","1,801,830,000"
09/09/17,0.525939,0.583964,0.524823,0.560809,"15,317,400","1,461,860,000"
09/10/17,0.561304,0.56787,0.462834,0.495607,"32,733,100","1,560,160,000"
09/11/17,0.49838,0.558273,0.481498,0.558273,"23,660,500","1,385,260,000"
09/12/17,0.561696,0.647193,0.557297,0.591949,"43,345,900","1,561,250,000"
09/13/17,0.592512,0.595366,0.479349,0.55682,"31,807,500","1,646,910,000"
09/14/17,0.565841,0.57363,0.445019,0.445019,"25,946,400","1,572,770,000"
09/15/17,0.4457,0.509332,0.372595,0.48051,"41,983,100","1,238,840,000"
09/16/17,0.479385,0.510361,0.453232,0.487239,"13,452,000","1,332,470,000"
09/17/17,0.484758,0.505875,0.462614,0.497046,"7,574,760","1,347,400,000"
09/18/17,0.496796,0.612485,0.496796,0.606233,"28,609,000","1,380,860,000"
09/19/17,0.608275,0.614231,0.555303,0.565168,"12,972,000","1,690,720,000"
09/20/17,0.559849,0.58568,0.543853,0.566627,"8,802,430","1,556,120,000"
09/21/17,0.567586,0.569993,0.467953,0.500724,"18,553,300","1,577,620,000"
09/22/17,0.499185,0.517458,0.476075,0.50601,"8,860,800","1,387,500,000"
09/23/17,0.507613,0.551145,0.494903,0.541796,"8,486,720","1,410,930,000"
09/24/17,0.540538,0.541688,0.506966,0.521379,"9,199,830","1,502,440,000"
09/25/17,0.524449,0.566395,0.524449,0.556207,"10,506,400","1,457,720,000"
09/26/17,0.55667,0.560043,0.507645,0.515205,"14,671,500","1,547,280,000"
09/27/17,0.514224,0.554709,0.507709,0.551005,"12,188,400","1,429,300,000"
09/28/17,0.549661,0.614313,0.52827,0.595896,"23,776,300","1,527,800,000"
09/29/17,0.595143,0.609587,0.543016,0.584418,"16,689,800","1,654,220,000"
09/30/17,0.584318,0.646884,0.57615,0.620822,"21,825,700","1,624,130,000"
10/01/17,0.62175,0.628776,0.592742,0.610183,"8,576,220","1,728,170,000"
10/02/17,0.61818,0.62209,0.565055,0.575398,"13,928,300","1,718,250,000"
10/03/17,0.577182,0.582044,0.516038,0.561712,"13,709,400","1,604,290,000"
10/04/17,0.560853,0.570545,0.520099,0.546982,"9,152,780","1,558,910,000"
10/05/17,0.547394,0.567734,0.520702,0.540915,"7,592,760","1,521,500,000"
10/06/17,0.543216,0.562671,0.493282,0.503448,"12,478,500","1,509,890,000"
10/07/17,0.504488,0.548719,0.490615,0.538529,"9,848,850","1,402,240,000"
10/08/17,0.534649,0.538526,0.492876,0.500032,"9,637,830","1,486,070,000"
10/09/17,0.500356,0.501909,0.439523,0.469438,"18,097,100","1,390,760,000"
10/10/17,0.466453,0.488517,0.452723,0.477576,"7,401,800","1,296,520,000"
10/11/17,0.477029,0.488967,0.464757,0.481464,"6,996,130","1,325,920,000"
10/12/17,0.481734,0.486223,0.391482,0.412417,"16,792,100","1,338,990,000"
10/13/17,0.412854,0.445985,0.403912,0.441595,"14,821,100","1,147,540,000"
10/14/17,0.441808,0.482837,0.431503,0.457837,"11,493,700","1,228,020,000"
10/15/17,0.458649,0.460506,0.414704,0.438429,"8,256,490","1,274,830,000"
10/16/17,0.439699,0.459618,0.42375,0.450655,"8,128,940","1,222,160,000"
10/17/17,0.452052,0.504408,0.434911,0.468463,"12,590,200","1,256,490,000"
10/18/17,0.474621,0.482291,0.427958,0.454575,"12,433,700","1,319,220,000"
10/19/17,0.457196,0.465953,0.415102,0.433388,"12,250,600","1,270,790,000"
10/20/17,0.432863,0.435639,0.39163,0.401913,"17,771,900","1,203,160,000"
10/21/17,0.403854,0.406504,0.32436,0.393045,"20,120,500","1,122,530,000"
10/22/17,0.390836,0.411999,0.381438,0.392542,"9,322,400","1,086,340,000"
10/23/17,0.391371,0.399234,0.36494,0.386487,"12,380,800","1,087,830,000"
10/24/17,0.389144,0.502278,0.377494,0.453682,"47,178,400","1,081,640,000"
10/25/17,0.455356,0.473467,0.430005,0.443448,"14,379,600","1,265,680,000"
10/26/17,0.443666,0.455887,0.411928,0.417107,"10,747,100","1,233,180,000"
10/27/17,0.416744,0.439441,0.395594,0.423355,"8,963,410","1,158,350,000"
10/28/17,0.424433,0.428173,0.391215,0.395483,"9,075,000","1,179,720,000"
10/29/17,0.395947,0.413541,0.367674,0.40372,"15,972,200","1,100,550,000"
10/30/17,0.403103,0.415571,0.385603,0.409046,"9,124,580","1,120,440,000"
10/31/17,0.407912,0.40834,0.390312,0.390915,"7,839,910","1,133,800,000"
11/01/17,0.390863,0.390863,0.35669,0.36392,"11,944,600","1,086,410,000"
11/02/17,0.370966,0.380213,0.320862,0.366056,"20,942,000","1,031,110,000"
11/03/17,0.36297,0.396015,0.358817,0.393126,"11,427,900","1,008,890,000"
11/04/17,0.391327,0.391546,0.365428,0.368643,"8,568,260","1,087,700,000"
11/05/17,0.367915,0.37091,0.335194,0.350084,"12,950,500","1,022,630,000"
11/06/17,0.351011,0.378777,0.338867,0.373939,"13,258,400","975,647,000"
11/07/17,0.371509,0.397608,0.362284,0.383096,"15,415,700","1,032,620,000"
11/08/17,0.384301,0.488848,0.381925,0.475925,"44,738,600","1,068,180,000"
11/09/17,0.475964,0.593595,0.467588,0.535435,"69,996,800","1,322,960,000"
11/10/17,0.529091,0.562467,0.459485,0.504601,"44,756,700","1,470,620,000"
11/11/17,0.501986,0.621817,0.497991,0.621817,"42,375,200","1,395,280,000"
11/12/17,0.62608,0.636028,0.508265,0.593716,"44,517,800","1,740,210,000"
11/13/17,0.59401,0.652501,0.573934,0.591634,"37,718,000","1,651,070,000"
11/14/17,0.586061,0.618325,0.53829,0.610332,"33,932,000","1,628,970,000"
11/15/17,0.610165,0.785823,0.610165,0.785823,"87,041,500","1,695,970,000"
11/16/17,0.792688,0.893702,0.713337,0.823941,"132,320,000","2,203,300,000"
11/17/17,0.830897,0.875845,0.731393,0.792462,"102,001,000","2,309,500,000"
11/18/17,0.791203,0.848357,0.752962,0.823032,"57,802,400","2,199,170,000"
11/19/17,0.816643,0.878973,0.80899,0.864638,"61,681,300","2,269,880,000"
11/20/17,0.862672,0.992344,0.858567,0.966548,"92,042,900","2,397,820,000"
11/21/17,0.96561,0.985799,0.776513,0.888499,"123,514,000","2,683,940,000"
11/22/17,0.889204,0.957121,0.854097,0.89957,"69,568,700","2,471,570,000"
11/23/17,0.897425,0.91535,0.789444,0.793487,"64,619,700","2,494,420,000"