timeDate,close,high,low,open,volumefrom,volumeto
10/11/17,0.00136,0.001645,0.00133,0.00161,105095,155.48
10/12/17,0.001346,0.00153,0.0012,0.00136,182660,244.01
10/13/17,0.001353,0.00144,0.0013,0.001346,94849,129
10/14/17,0.00134,0.00139,0.00129,0.001353,101998,135.07
10/15/17,0.0014,0.001429,0.00125,0.00134,167609,223.96
10/16/17,0.0015,0.001636,0.001357,0.0014,185143,272.42
10/17/17,0.001512,0.001657,0.001455,0.0015,243747,373.78
10/18/17,0.001421,0.001549,0.00139,0.001512,266273,388.23
10/19/17,0.001329,0.001429,0.00128,0.001421,232836,314.65
10/20/17,0.0014,0.00141,0.001232,0.001329,284469,376.31
10/21/17,0.001458,0.00154,0.00135,0.0014,235217,338.31
10/22/17,0.001586,0.001586,0.0014,0.001458,213213,320.69
10/23/17,0.001615,0.00178,0.001412,0.001586,192390,306.21
10/24/17,0.00163,0.00165,0.00153,0.001615,296783,464.43
10/25/17,0.00154,0.00165,0.00148,0.00163,148484,227.42
10/26/17,0.001478,0.00155,0.00141,0.00154,88428,130.46
10/27/17,0.001439,0.0015,0.001436,0.001478,69347,100.33
10/28/17,0.00146,0.001478,0.00139,0.001439,116646,165.7
10/29/17,0.001313,0.00149,0.00126,0.00146,237012,316.27
10/30/17,0.001264,0.001383,0.001264,0.001313,210738,274.18
10/31/17,0.001217,0.0013,0.001206,0.001264,161387,201.58
11/1/17,0.001261,0.00134,0.00115,0.001217,262153,319.65
11/2/17,0.001297,0.001317,0.0012,0.001261,194866,244.5
11/3/17,0.00127,0.00136,0.001219,0.001297,157843,204.46
11/4/17,0.001182,0.001288,0.00115,0.00127,309226,370.37
11/5/17,0.00127,0.00131,0.00116,0.001182,198864,244.16
11/6/17,0.001321,0.00135,0.00123,0.00127,331280,430.59
11/7/17,0.0016,0.00163,0.001308,0.001321,453071,673.23
11/8/17,0.001701,0.001889,0.00151,0.0016,585965,1019.33
11/9/17,0.001705,0.00187,0.001582,0.001701,559948,944.88
11/10/17,0.002099,0.002099,0.00169,0.001705,601840,1105.97
11/11/17,0.002051,0.00225,0.00171,0.002099,2117032,4224.18
11/12/17,0.00191,0.00248,0.001862,0.002051,1107672,2269.57
11/13/17,0.00183,0.001938,0.001701,0.00191,970893,1767.12
11/14/17,0.00245,0.0027,0.00183,0.00183,1421632,3018.3
11/15/17,0.00252,0.002737,0.00215,0.00245,1656441,4056.37
11/16/17,0.00238,0.002685,0.00223,0.00252,1116157,2734.48
11/17/17,0.002344,0.002505,0.0023,0.00238,905257,2160.58
11/18/17,0.002498,0.002629,0.002165,0.002344,1262570,3039.39
11/19/17,0.00265,0.0028,0.00243,0.002498,1790298,4729.18
11/20/17,0.0025,0.002746,0.002278,0.00265,2150225,5369.82
11/21/17,0.002362,0.002637,0.002337,0.0025,1740923,4344.81
11/22/17,0.00195,0.002484,0.0019,0.002362,1831864,4007.07
11/23/17,0.001684,0.00201,0.0016,0.00195,2620706,4672.84
11/24/17,0.001742,0.00182,0.001561,0.001684,1554559,2643.45
11/25/17,0.001798,0.00181,0.00167,0.001742,1056968,1846.7
11/26/17,0.002177,0.00235,0.001637,0.001798,2979625,6011.15
11/27/17,0.002388,0.002477,0.002155,0.002177,543349,1259.85